ADDRESS,LATITUDE,LONGITUDE,TYPE
6030 N AVONDALE AVE,41.99120656361649,-87.79879483457952,F
1724 W 95TH ST,41.72124683806391,-87.66576328672551,F
12701 S DOTY AVE,41.66260010624714,-87.59059746685327,F
419 S WELLS ST,41.87604804340882,-87.63333692317708,F
1129 W CHICAGO AVE,41.895977019578105,-87.65622466882277,F
4401 S ASHLAND AVE,41.81404218586455,-87.66497197801137,F
7101 S PARNELL AVE,41.76525963399459,-87.63830544212665,F
8630 S EMERALD AVE,41.73693577387957,-87.64245532798658,F
4034 W 47TH ST,41.80790024096418,-87.72485128276466,F
330 W 104TH ST,41.7052439476399,-87.6324331863445,F
3918 N HARLEM AVE,41.95114251165066,-87.80721934061404,F
605 W ARMITAGE AVE,41.91792047709303,-87.64396690956342,F
3042 S KEDVALE AVE,41.837386198391975,-87.72806083645415,F
202 E CHICAGO AVE,41.89706519923356,-87.62259901814724,F
10 N LEAVITT ST,41.88151592134697,-87.68185534665783,F
324 S DESPLAINES ST,41.877028304420755,-87.64430865193455,F
412 N KEDZIE AVE,41.888791436564,-87.70657770924328,F
439 N WALLER AVE,41.88832430415244,-87.76761633819585,F
25 S LAFLIN ST,41.880715524740886,-87.66412071624002,F
212 W CERMAK RD,41.85313331810226,-87.63235666216515,F
1200 W WILSON AVE,41.96563850396769,-87.65997484168496,F
7313 S KINGSTON AVE,41.76239663139161,-87.56393561616461,F
6030 N CLARK ST,41.99185705844965,-87.6702338230154,F
5200 W 63RD ST,41.77750932865842,-87.75197548528234,F
7659 S PULASKI RD,41.75300608968367,-87.72192154895255,F
2718 N HALSTED ST,41.93179744380986,-87.64899361595215,F
1440 E 67TH ST,41.77330654417221,-87.59020200469239,F
2323 N NATCHEZ AVE,41.92208525379962,-87.78775414416,F
13359 S BURLEY AVE,41.652591152628624,-87.54470437664087,F
259 N COLUMBUS DR,41.88646360558985,-87.62061359066273,F
432 E MARQUETTE RD,41.77300015277593,-87.6141755209756,F
2215 W 51ST ST,41.801170483375124,-87.67986218548822,F
1101 S CALIFORNIA AVE,41.86810702989009,-87.6956239669264,F
3027 E 93RD ST,41.72641224082973,-87.55007769314022,F
1244 N WESTERN AVE,41.9038275429672,-87.68713245676875,F
7340 N CLARK ST,42.014640160686284,-87.67502361090747,F
5343 N CUMBERLAND AVE,41.97685625348317,-87.836495886321,F
3801 N DAMEN AVE,41.95075472438277,-87.67830302464209,F
11940 S PEORIA ST,41.676767520058746,-87.64436386377967,F
6424 N LEHIGH AVE,41.997974799017584,-87.76616159362811,F
2534 S THROOP ST,41.84557901305613,-87.65633258746628,F
8120 S ASHLAND AVE,41.746304611153825,-87.66346152532664,F
4625 N MILWAUKEE AVE,41.964650420624565,-87.75785762001762,F
55 W ILLINOIS ST,41.89080151108816,-87.63009284126726,F
4005 S DEARBORN ST,41.821900941759,-87.62749769240351,F
4017 N TRIPP AVE,41.953786251061175,-87.7339286805089,F
2214 W BARRY AVE,41.93769629431298,-87.68576576945844,F
2240 W 69TH ST,41.768394081407024,-87.67985164411793,F
3945 W PETERSON AVE,41.990056658779615,-87.72568030374029,F
3949 W 16TH ST,41.85850227061717,-87.7242763667799,F
5955 S ASHLAND AVE,41.78569136830025,-87.66426233667036,F
2358 S WHIPPLE ST,41.84833993168608,-87.70181130248798,F
3002 W 42ND ST,41.8172974388628,-87.69950400664642,F
11641 S AVENUE O,41.68384838570316,-87.5400210564776,F
1747 N PULASKI RD,41.912618217810966,-87.72638113254548,F
11958 S STATE ST,41.67673026792751,-87.62265939976201,F
2322 W FOSTER AVE,41.97593934922963,-87.6875836047776,F
34 E 114TH ST,41.68740625454284,-87.62413685881735,F
4900 W CHICAGO AVE,41.895036609573054,-87.74827707033056,F
1915 S DAMEN AVE,41.85561895838222,-87.67592085764691,F
4600 S COTTAGE GROVE AVE,41.81134320681739,-87.60662556802056,F
7974 S SOUTH CHICAGO AVE,41.749827955664045,-87.58341162594515,F
6239 N CALIFORNIA AVE,41.99514651466264,-87.69953001132356,F
3421 S CALUMET AVE,41.83227804024279,-87.61779663851078,F
5559 S NARRAGANSETT AVE,41.79123564423197,-87.78169288573983,F
101 E 79TH ST,41.75098315968846,-87.62135205388734,F
1901 N DAMEN AVE,41.91622975167794,-87.67720585176635,F
3401 N ELSTON AVE,41.943065521032246,-87.7032142448537,F
548 W DIVISION ST,41.903989978859165,-87.64291470278913,F
1125 N ASHLAND AVE,41.90220932124115,-87.66707948571641,F
10458 S HOXIE AVE,41.705334319654064,-87.56088524816063,F
1052 W WAVELAND AVE,41.94920789049237,-87.65640453322862,F
5212 W HARRISON ST,41.872982656337946,-87.75506878145924,F
4911 W BELMONT AVE,41.9387854993556,-87.74963764827827,F
21 W 59TH ST,41.786898250644306,-87.62642113677177,F
10615 S EWING AVE,41.702187603130206,-87.53522906326324,F
3637 W 59TH ST,41.785702152345344,-87.71468959394757,F
11035 S HOMEWOOD AVE,41.693205775399605,-87.66882538049862,F
5000 S UNION AVE,41.80344788181221,-87.64299386409898,F
5258 W GRAND AVE,41.91725086259721,-87.75747321069997,F
3112 W 111TH ST,41.6916111688133,-87.69891865020873,F
4426 N KEDZIE AVE,41.961690670919346,-87.7082930624585,F
2827 N PULASKI RD,41.93223675592729,-87.72695711402253,F
2179 N STAVE ST,41.92093320589118,-87.69644234997307,F
4003 W WEST END AVE,41.88334382548296,-87.72576410502936,F
5758 W GRACE ST,41.949448311266025,-87.77069385620601,F
817 E 91ST ST,41.72933327959225,-87.60425730151255,F
1360 N BLUE ISLAND AVE,41.864503979120165,-87.65556796459875,F
3509 S LOWE AVE,41.83078516567415,-87.64213229262364,F
1618 W 33RD PL,41.83346514532146,-87.66635103487269,F
1150 E 55TH ST,41.79515197581412,-87.59751892663527,F
8026 S KEDZIE AVE,41.74747486194539,-87.70238006254415,F
